sep=|
inventory_hostname|managing_team|OS|OS_version|OS_virt_type| motd_changed|motd_checked_time|motd_modified_time| dns_changed|dns_checked_time|dns_modified_time| network_manager_changed|network_manager_checked_time|network_manager_modified_time| snmp_conf_changed|snmp_checked_time|snmp_modifed_time mdatp_package_changed|mdatp_package_checked_time|mdatp_package_modified_time| mdatp_config_changed|mdatp_config_checked_time|mdatp_config_modified_time|
lanapcvs01.aceins.com|latam-it-operations|RedHat|7|VMware| False|2023-10-19 09:52:36|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausd-lapp0005.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:31:01|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausd-letl0001.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:24:41|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausd-lwaml0001.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:30:37|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausd-lwpip0001.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:30:47|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausd-lwpipgw0001.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:30:56|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-laans0001.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:32:27|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lansi0001.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:36:32|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lapp0005.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:46|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lapp0007.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:31|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lappnat01.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:47|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lcogtm101.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:47|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lebao001.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:47|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-letl0001.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:47|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lgitl0001.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:32:23|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-llogstash01.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:48|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-llogstash02.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:32:48|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lucbkp01.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:48|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lweb001.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 07:32:47|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lwebcya01.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:49|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lwebcya02.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:48|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lwebcya03.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:49|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lwebcya04.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:49|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lwebcya05.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:49|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lwebcya06.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:49|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lwebcya07.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:50|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lwebcya08.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:50|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lwebcya09.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:50|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lwebcya10.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:50|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lwebcya11.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:51|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausp-lwebres01.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:51|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
laust-lcli01.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:51|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
laust-limgsrv01.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:32:51|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
laust-limgsrv02.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:51|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
laust-lsrv003.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:51|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausu-lapp0006.aceins.com|latam-it-operations|RedHat|8|VMware| True|skipped|2023-10-19 09:32:40| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|2023-10-19 09:32:40 skipped|skipped|skipped| skipped|skipped|skipped|
lausu-lapp0007.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:31:08|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausu-lapp0008.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:31:06|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausu-lapp0009.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:31:08|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausu-lcmans01.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:32:53|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausu-lebao001.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 08:28:04|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausu-lwaml0001.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:30:38|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausu-lwpip0001.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:30:50|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
lausu-lwpipgw0001.aceins.com|latam-it-operations|RedHat|8|VMware| False|2023-10-19 09:32:24|skipped| skipped|skipped|skipped| skipped|skipped|skipped| skipped|skipped|skipped skipped|skipped|skipped| skipped|skipped|skipped|
